Price (dollars),Discount (dollars),Length of Course (hours),Number of Users,Company Administrators (percent),Company Instructors (percent),Company Learners (percent),Company Rating (average),Quiz Grade (average),Completed Quizzes (percent),Graded Assessment (percent),Not-Graded Assessment (percent),Content (percent),External (percent),Interactive (percent),Uses SCORM (yes/no),Milestone Course (yes/no),Certificates (percent),Collaborations (average),Teacher Comments (average)
449.0,0.0,0.0011111111111111113,1.0,20.0,40.0,40.0,79.0,100.0,100.0,50.0,0.0,50.0,0.0,0.0,0,0,0.0,0.0,0.0
895.0,0.0,0.2802777777777778,3.0,50.0,0.0,50.0,97.0,89.0,50.0,0.0,0.0,83.3,0.0,16.7,0,0,0.0,0.0,0.0
0.0,0.0,3917.818333333333,1059.0,20.0,40.0,40.0,79.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
199.0,0.311996,2964.660555555556,652.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,90.0,50.0,4.8,0.7000000000000001,85.3,0.0,9.2,0,0,15.184049079754605,0.0,0.0
0.0,0.0,66.90722222222222,304.0,20.0,40.0,40.0,79.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,162.16277777777782,486.0,20.0,40.0,40.0,79.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
19.95,0.0,123.3502777777778,252.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
449.0,0.0,0.16055555555555556,3.0,20.0,40.0,40.0,79.0,100.0,100.0,33.300000000000004,0.0,66.7,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,57.80666666666666,235.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,104.78472222222223,31.0,33.300000000000004,33.300000000000004,33.300000000000004,86.0,100.0,40.0,7.1999999999999975,22.7,45.1,0.0,24.9,0,0,0.0,0.0,1.0
250.0,0.5797869999999999,123.0025,106.0,25.0,25.0,50.0,81.0,90.0,50.0,17.2,0.0,82.8,0.0,0.0,0,0,14.150943396226413,0.0,0.0
5.95,0.0,8.530277777777778,76.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
9.95,0.0,131.96472222222224,154.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,14.993055555555555,137.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
19.95,0.0,102.20166666666668,122.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
6.95,0.0,1.7266666666666666,10.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
3.95,0.0,0.8658333333333333,32.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,10.708055555555557,50.0,25.0,25.0,50.0,81.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
19.95,0.0,36.54666666666667,55.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,91.66305555555556,186.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
150.0,0.46288999999999997,206.4352777777777,255.0,25.0,25.0,50.0,81.0,88.0,50.0,2.8000000000000003,0.0,97.2,0.0,0.0,0,0,0.0,0.0,0.0
250.0,0.827102,642.3525,228.0,25.0,25.0,50.0,81.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,5.701754385964912,0.0,0.0
0.0,0.0,8.395833333333334,60.0,25.0,25.0,50.0,84.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
19.95,0.0,85.0613888888889,165.0,33.300000000000004,33.300000000000004,33.300000000000004,92.0,89.0,50.0,0.0,0.0,100.0,0.0,0.0,0,0,0.0,0.0,0.0
