Price (dollars),Length of Course (hours),Visibility (# views),Quiz Grade (average),"Surveys, Talleys, and Workbooks (percent)",Completed Quizzes (percent),Engagement Score,Teacher Comments (average),Number of Users,Certificates (percent),Collaborations (average),Discount (dollars),Graded Assessment (percent),Not-Graded Assessment (percent),Content (percent),External (percent),Interactive (percent),Company Rating (average),Company Administrators (percent),Company Instructors (percent),Company Learners (percent),companyid_words,courseid_num,Uses SCORM (yes/no),Milestone Course (yes/no),Engagement Bins
0,37.67722222,910,56,0,50,33,0,105,0,0,0,14.7,0,85.3,0,0,88,50,25,25,aardvark,6597,0,0,Low
0,0.007777778,6,89,50,50,9,0,1,0,0,0,0,0,100,0,0,88,50,25,25,aardvark,30146,0,0,Low
0,3.260833333,158,28,0,50,86,0,3,0,0,0,44.3,0,55.7,0,0,88,50,25,25,aardvark,35873,0,0,High
0,212.5619444,4265,51,0,50,19,0,166,0,0,0,20.9,0,78.4,0,0.7,88,50,25,25,aardvark,41788,0,0,Low
0,15.26,496,48,0,50,36,0,74,0,0,0,14.2,0,85.8,0,0,88,50,25,25,aardvark,7548,0,0,Low
0,57.52166667,1730,21,0,50,27,0,72,0,0,0,28.3,0,71.7,0,0,88,50,25,25,aardvark,22792,0,0,Low
0,0.160833333,10,89,50,50,83,0,2,0,0,0,0,0,100,0,0,88,50,25,25,aardvark,22763,0,0,High
0,24.38833333,799,89,50,50,36,0,149,4.026845638,0,0,0,0,89.5,1.1,9.4,90,50,0,50,abbeys,18871,0,0,Low
0,0.625833333,17,89,50,50,78,0,205,0,0,0,0,0,100,0,0,90,50,0,50,abbeys,16822,0,0,High
895,0.095277778,7,89,50,50,6,0,1,0,0,0,0,0,100,0,0,90,50,0,50,abbeys,48688,0,0,Low
0,23.79527778,816,89,50,50,48,0,147,4.081632653,0,0,0,0,86.4,3.2,10.3,90,50,0,50,abbeys,22251,0,1,Low
0,0.713888889,17,89,50,50,76,0,184,0,0,0,0,0,100,0,0,90,50,0,50,abbeys,34484,0,0,High
0,5.330277778,146,89,50,50,80,0,206,0,0,0,0,0,100,0,0,90,50,0,50,abbeys,34850,0,0,High
0,2.584444444,160,100,99.9,50,84,0,185,0,0,0,0,56.9,33.1,0,10,90,50,0,50,abbeys,12306,0,0,High
0,18.23888889,880,96,54.6,45.5,52,0,205,0,0,0,0.7,37.9,53.8,0,7.6,90,50,0,50,abbeys,5611,0,0,High
0,3.4475,141,100,99.9,50,56,0,205,0,0,0,0,22.1,66.7,0,11.3,90,50,0,50,abbeys,47385,0,0,High
0,2.060833333,37,89,50,50,76,0,191,0,0,0,0,0,98.6,0,1.4,90,50,0,50,abbeys,26769,0,0,High
0,202.8780556,5741,89,66.6,0,48,0,190,12.10526316,0,0,0,0,87.1,3.6,9.3,90,50,0,50,abbeys,23681,0,1,Low
0,6.745,277,89,50,50,32,0,147,2.040816327,0,0,0,0,90,6.2,3.8,90,50,0,50,abbeys,42264,0,1,Low
0,0.969444444,14,89,50,50,81,0,205,0,0,0,0,0,52.5,0,47.5,90,50,0,50,abbeys,3608,0,0,High
180,116.59,3411,100,60,20,71,1,32,0,0,0.124137,0,3.4,69,0,27.6,91,33.3,33.3,33.3,acronyms,21182,0,0,High
180,57.85277778,1265,100,100,50,76,1,15,0,0,0.48,0,3.8,72.3,0,24,91,33.3,33.3,33.3,acronyms,6071,0,0,High
325,48.08138889,1412,92,50,50,51,1,17,0,0,0.65,2.5,0.4,60.6,0,36.5,91,33.3,33.3,33.3,acronyms,40433,0,0,High
600,59.79111111,1060,95,50,50,54,1,17,0,0,3.425,1.2,1.4,73.8,0,23.6,91,33.3,33.3,33.3,acronyms,48866,0,0,High
0,11.39222222,611,80,0,50,63,0,36,0,0,0,9.6,0,74.5,0,16,88,100,0,0,admirals,2511,0,1,High
0,0.419722222,74,90,0,50,82,0,2,0,0,0,15,0,85,0,0,88,100,0,0,admirals,32991,0,0,High
0,0.136666667,6,89,50,50,80,0,2,0,0,0,0,0,100,0,0,88,100,0,0,admirals,26857,0,0,High
0,0.312777778,18,89,100,0,75,0,3,0,0,0,0,7.2,92.8,0,0,88,100,0,0,admirals,2792,0,0,High
0,0.700277778,17,85,80,60,53,0,5,0,0,0,1.5,8.8,86.9,0,2.9,88,100,0,0,admirals,25894,0,0,High
0,0.285833333,45,85,33.3,33.3,37,0,7,0,0,0,8.8,3.7,87.5,0,0,88,100,0,0,admirals,28535,0,0,Low
0,2.071944444,60,100,100,100,97,0,44,0,0,0,0,24.6,75.4,0,0,88,100,0,0,admirals,32109,0,1,High
0,8.381111111,429,100,100,50,87,0,70,0,0,0,0,6.7,93.3,0,0,88,100,0,0,admirals,9853,0,0,High
0,8.541388889,716,90,50,33.3,70,1,36,0,0,0,4.9,8.3,71,0,15.8,88,100,0,0,admirals,16209,0,0,High
0,4.833888889,194,100,100,50,70,0,6,0,0,0,0,0,100,0,0,81,50,0,50,admissions,38721,0,1,High
0,0.276666667,23,89,50,50,66,0,2,0,0,0,0,0,82.6,17.4,0,81,50,0,50,admissions,11233,0,1,High
0,0.321944444,21,89,50,50,66,0,2,0,0,0,0,0,0,100,0,81,50,0,50,admissions,13484,1,1,High
0,0.163055556,16,89,50,50,66,0,2,0,0,0,0,0,100,0,0,81,50,0,50,admissions,19023,0,1,High
0,0.098611111,11,89,50,50,66,0,2,0,0,0,0,0,0,100,0,81,50,0,50,admissions,5745,0,1,High
0,0.146388889,17,89,50,50,50,0,2,0,0,0,0,0,0,100,0,81,50,0,50,admissions,6555,0,1,High
0,1.010555556,33,89,50,50,54,0,2,0,0,0,0,0,72.7,27.3,0,81,50,0,50,admissions,40163,0,1,High
0,0.091111111,5,89,50,50,50,0,1,0,0,0,0,0,0,100,0,81,50,0,50,admissions,11811,1,1,High
0,0.131666667,17,100,100,50,50,0,2,0,0,0,0,76.5,23.5,0,0,81,50,0,50,admissions,2482,0,0,High
0,0.131944444,3,89,50,50,50,0,1,0,0,0,0,0,0,100,0,81,50,0,50,admissions,16536,1,1,High
0,0.290555556,17,89,50,50,75,0,2,0,0,0,0,0,0,100,0,81,50,0,50,admissions,48949,1,1,High
0,0,2,89,50,50,11,0,1,0,0,0,0,0,100,0,0,81,50,0,50,admissions,28772,0,1,Low
0,0.016944444,3,89,50,50,50,0,1,0,0,0,0,0,100,0,0,81,50,0,50,admissions,32718,0,1,High
0,0.055555556,4,89,50,50,66,0,1,0,0,0,0,0,100,0,0,81,50,0,50,admissions,16356,0,1,High
0,1.226666667,73,89,50,50,62,0,2,0,0,0,0,0,90.4,9.6,0,81,50,0,50,admissions,38032,0,1,High
0,5.171944444,280,100,100,50,43,0,20,0,0,0,0,2,98,0,0,95,25,25,50,adverb,23526,0,0,Low
0,149.51,1501,89,100,0,64,0,95,0,0,0,0,0,85.3,0,14.7,95,25,25,50,adverb,5809,0,0,High
0,18.66,436,89,100,0,46,0,41,0,0,0,0,0,100,0,0,95,25,25,50,adverb,5360,0,0,Low
0,570.3605556,2876,89,100,0,54,0,147,0,0,0,0,0,100,0,0,95,25,25,50,adverb,15750,0,0,High
0,6.472777778,147,100,100,50,56,0,21,0,0,0,0,5.5,94.5,0,0,95,25,25,50,adverb,47113,0,0,High
0,3.176944444,148,100,100,50,83,0,13,0,0,0,0,7.6,92.4,0,0,95,25,25,50,adverb,28859,0,0,High
0,22.44694444,1736,96,60,40,66,0,78,0,0,0,9.5,0,78.9,0,11.6,95,25,25,50,adverb,17673,0,0,High
0,29.95694444,2014,82,50,50,78,0,73,0,0,0,9.6,3.9,75.2,0,11.3,95,25,25,50,adverb,29635,0,0,High
0,4.527222222,262,100,100,50,68,0,16,0,0,0,0,8.6,86.9,0,4.5,95,25,25,50,adverb,9175,0,0,High
0,0.942777778,72,100,100,50,71,0,5,0,0,0,0,8.2,91.8,0,0,95,25,25,50,adverb,7202,0,0,High
0,66.03555556,1735,89,100,0,50,0,111,0,0,0,0.1,0,80,0,19.9,95,25,25,50,adverb,18697,0,0,High
0,178.7377778,1874,86,33.3,33.3,63,0,155,0,0,0,4.8,0,80.5,0,14.7,95,25,25,50,adverb,21311,0,0,High
0,4.356388889,206,100,100,50,42,0,22,0,0,0,0,1.6,98.4,0,0,95,25,25,50,adverb,11238,0,0,Low
0,8.126944444,360,100,100,50,66,0,22,0,0,0,0,4.7,95.3,0,0,95,25,25,50,adverb,39847,0,0,High
0,33.80111111,1003,89,100,0,44,0,53,0,0,0,0,0,100,0,0,95,25,25,50,adverb,5563,0,0,Low
0,0.701944444,18,89,50,50,70,0,58,0,0,0,0,0,0,100,0,86,33.3,33.3,33.3,ages,30722,0,0,High
0,203.6338889,2866,98,66.6,50,60,0,408,0,0,0,1.7,56.6,40.5,1.1,0,86,33.3,33.3,33.3,ages,10712,0,1,High
0,76.70916667,133,89,50,50,21,0,182,0,0,0,0,0,1.5,98.5,0,86,33.3,33.3,33.3,ages,22024,0,1,Low
0,5.241944444,94,89,50,50,47,0,4,0,0,0,0,0,100,0,0,86,33.3,33.3,33.3,ages,18587,0,1,Low
0,0.741666667,30,50,0,50,47,0,6,0,0,0,34.5,0,58.6,0,6.9,86,33.3,33.3,33.3,ages,6859,0,1,Low
0,1532.236111,12066,89,50,50,45,0,417,0,0,0,0,0,98.3,0,1.7,86,33.3,33.3,33.3,ages,17037,0,1,Low
0,3.100555556,46,71,0,50,34,0,9,0,0,0,25,0,65.9,0,9.1,86,33.3,33.3,33.3,ages,49104,0,1,Low
0,60.79583333,245,89,50,50,38,0,91,0,0,0,0,0,100,0,0,86,33.3,33.3,33.3,ages,43095,0,1,Low
0,75.11,959,83,0,50,45,0,65,0,0,0,36.6,0,55.9,0,7.5,86,33.3,33.3,33.3,ages,43387,0,1,Low
895,90.11944444,1715,69,50,25,39,0,80,0,0,0,22.9,0,74.6,0,2.5,86,33.3,33.3,33.3,ages,35023,0,0,Low
0,15.73805556,44,89,50,50,26,0,220,0,0,0,0,0,0,100,0,86,33.3,33.3,33.3,ages,20172,0,1,Low
0,0.217777778,9,89,50,50,15,0,9,0,0,0,0,0,100,0,0,86,33.3,33.3,33.3,ages,26902,0,0,Low
0,3.287222222,39,89,50,50,62,0,4,0,0,0,0,0,100,0,0,86,33.3,33.3,33.3,ages,28080,0,1,High
0,309.1825,4907,82,0,50,32,0,212,0,0,0,34,0,59.8,0,6.2,86,33.3,33.3,33.3,ages,11179,0,1,Low
0,551.7855556,2572,89,50,50,70,0,110,0,0,0,0,0,100,0,0,86,33.3,33.3,33.3,ages,32746,0,1,High
500,4.506111111,115,71,50,50,13,1,15,0,3,0,14.8,13.9,37.4,9.6,24.3,80,33.3,33.3,33.3,airship,3807,0,1,Low
0,0.2225,6,89,50,50,10,0,3,0,0,0,0,0,100,0,0,80,33.3,33.3,33.3,airship,42298,0,0,Low
0,0.439444444,15,100,100,50,20,0,7,0,0,0,0,60,26.7,13.3,0,80,33.3,33.3,33.3,airship,45928,0,1,Low
0,1.0675,30,80,0,100,33,1,2,0,1,0,20,0,50,0,30,80,33.3,33.3,33.3,airship,1373,0,1,Low
0,0.075,4,89,50,50,15,0,2,0,0,0,0,0,100,0,0,80,33.3,33.3,33.3,airship,27409,0,0,Low
10,0.037222222,3,100,100,100,43,0,3,0,0,0,0,33.3,66.7,0,0,80,33.3,33.3,33.3,airship,7422,0,0,Low
100,0.071944444,1,89,100,0,16,0,2,0,0,0,0,100,0,0,0,80,33.3,33.3,33.3,airship,3686,0,1,Low
10,0.146666667,8,100,100,100,86,0,1,0,0,0,0,12.5,87.5,0,0,80,33.3,33.3,33.3,airship,30259,0,0,High
50,0.132222222,3,83,0,100,4,0,4,0,0,0,0,0,100,0,0,80,33.3,33.3,33.3,airship,41783,0,1,Low
10,0.778333333,25,100,100,50,72,0,3,0,2,0,0,8,52,24,16,80,33.3,33.3,33.3,airship,37075,0,1,High
0,0.074444444,6,89,50,50,45,0,1,0,0,0,0,0,66.7,0,33.3,80,33.3,33.3,33.3,airship,37373,0,0,Low
200,0.176388889,9,100,50,100,46,0,3,0,0,0,11.1,22.2,44.4,0,22.2,80,33.3,33.3,33.3,airship,7728,0,0,Low
0,0.035833333,3,89,100,0,7,0,2,0,0,0,0,33.3,66.7,0,0,80,33.3,33.3,33.3,airship,47839,0,0,Low
150,107.9183333,927,89,100,0,86,0,284,0,0,0.217391,0,0,51.7,48.3,0,92,33.3,33.3,33.3,alibi,8628,0,0,High
0,9.93,196,89,50,50,93,0,134,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,10431,0,0,High
24.95,499.9663889,6129,89,50,50,99,0,1639,10.86028066,0,0.001298,0,0,0,100,0,92,33.3,33.3,33.3,alibi,23245,0,0,High
19.95,367.2727778,1462,89,50,50,83,0,660,0,0,0.084233,0,0,100,0,0,92,33.3,33.3,33.3,alibi,5067,0,0,High
0,9.57,193,89,50,50,89,0,130,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,26196,0,0,High
0,48.45805556,214,89,50,50,89,0,109,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,1729,0,0,High
19.95,15.40444444,44,89,50,50,80,0,17,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,29345,0,0,High
75,108.0555556,758,89,50,50,82,0,340,0,0,0.009375,0,0,55.3,44.7,0,92,33.3,33.3,33.3,alibi,15117,0,0,High
6.95,56.3525,311,89,50,50,75,0,163,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,14558,0,0,High
0,9.291944444,126,89,50,50,92,0,82,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,14481,0,0,High
29.95,531.9352778,2897,89,50,50,94,0,706,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,29643,0,0,High
0,8.475277778,94,89,50,50,80,0,71,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,26339,0,0,High
24.95,7.014166667,26,89,50,50,41,0,18,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,12064,0,0,Low
0,16.6425,163,89,50,50,80,0,98,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,38095,0,0,High
6.95,12.05333333,91,89,50,50,85,0,30,0,0,0,0,0,100,0,0,92,33.3,33.3,33.3,alibi,42074,0,0,High
0,5.62,110,77,0,50,50,0,16,25,0,0,13.9,0,86.1,0,0,74,33.3,0,66.7,appellate,37872,0,0,High
0,2.378055556,94,36,0,50,64,0,15,40,0,0,47.9,0,52.1,0,0,74,33.3,0,66.7,appellate,24899,0,0,High
0,0.976944444,9,82,0,100,57,0,1,0,0,0,55.6,0,44.4,0,0,74,33.3,0,66.7,appellate,24494,0,0,High
0,0.0025,2,50,0,100,55,0,3,0,0,0,0,0,100,0,0,74,33.3,0,66.7,appellate,12158,0,0,High
0,1.306944444,40,98,50,100,55,0,2,0,0,0,2.5,15,65,0,17.5,90,50,0,50,approach,11081,0,0,High
0,0.795,23,100,100,100,67,0,2,0,0,0,0,17.4,73.9,0,8.7,90,50,0,50,approach,18824,0,0,High
0,0.008611111,2,89,50,50,50,0,1,0,0,0,0,0,100,0,0,90,50,0,50,approach,31060,0,0,High
0,3.906666667,34,89,50,50,65,0,4,0,0,0,0,0,100,0,0,90,50,0,50,approach,44648,0,0,High
0,0.096666667,2,89,50,50,29,0,1,0,0,0,0,0,100,0,0,90,50,0,50,approach,27365,0,0,Low
0,0.531388889,21,100,100,33.3,56,0,2,0,0,0,0,19,76.2,0,4.8,90,50,0,50,approach,37947,0,0,High
0,1.184166667,29,100,66.7,66.7,72,0,2,0,0,0,6.9,34.5,48.3,0,10.3,90,50,0,50,approach,25339,0,0,High
0,2.985,63,98,33.3,33.3,69,0,8,0,0,0,25.4,12.7,50.8,0,11.1,90,50,0,50,approach,48411,0,0,High
0,4.385833333,42,96,33.3,33.3,79,0,10,0,0,0,31.4,10,48.6,0,10,90,50,0,50,approach,18509,0,0,High
0,0.119722222,13,89,50,50,50,0,2,0,0,0,0,0,100,0,0,90,50,0,50,approach,6638,0,0,High
0,0.935,46,100,100,50,58,0,5,0,0,0,0,15.2,30.4,0,54.3,90,50,0,50,approach,25889,0,0,High
0,0.296111111,15,89,100,0,41,0,1,0,0,0,0,6.7,26.7,0,66.7,90,50,0,50,approach,18091,0,0,Low
0,0.001111111,1,89,50,50,3,0,1,0,0,0,0,0,100,0,0,90,50,0,50,approach,34958,0,0,Low
0,0.365,8,89,50,50,75,0,2,0,0,0,0,0,100,0,0,90,50,0,50,approach,43955,0,0,High
0,11.12972222,127,89,0,0,91,0,9,0,0,0,0,0,100,0,0,90,50,0,50,approach,7351,0,0,High
0,0.064444444,3,89,50,50,67,0,1,0,0,0,0,0,66.7,33.3,0,96,33.3,0,66.7,arts,18515,0,0,High
0,0.0275,8,89,50,50,61,0,3,0,0,0,0,0,50,50,0,96,33.3,0,66.7,arts,44254,0,0,High
0,0.624166667,30,89,50,50,88,0,9,0,0,0,0,0,46.7,53.3,0,96,33.3,0,66.7,arts,31333,0,0,High
0,0.586388889,26,89,50,50,77,0,6,0,0,0,0,0,42.3,57.7,0,96,33.3,0,66.7,arts,32082,0,0,High
0,108.0433333,4842,89,50,50,42,0,991,0,0,0,0,0,32.7,67.3,0,96,33.3,0,66.7,arts,23966,0,0,Low
0,0.3425,20,89,50,50,76,0,6,0,0,0,0,0,65,35,0,96,33.3,0,66.7,arts,16029,0,0,High
0,288.7169444,4015,72,0,50,33,0,973,7.297019527,0,0,9.9,0,31,59.1,0,96,33.3,0,66.7,arts,25132,0,0,Low
0,352.6419444,5724,89,50,50,62,0,3139,0,0,0,0,0,0,100,0,96,33.3,0,66.7,arts,3041,0,0,High
0,0.037222222,5,89,50,50,47,0,3,0,0,0,0,0,60,40,0,96,33.3,0,66.7,arts,2534,0,0,Low
0,0.042222222,4,89,50,50,67,0,3,0,0,0,0,0,50,50,0,96,33.3,0,66.7,arts,44532,0,0,High
0,0.018333333,4,89,50,50,67,0,1,0,0,0,0,0,25,75,0,96,33.3,0,66.7,arts,11644,0,0,High
0,0.118333333,13,89,50,50,91,0,3,0,0,0,0,0,61.5,38.5,0,96,33.3,0,66.7,arts,16614,0,0,High
0,0.6425,7,89,50,50,92,0,6,0,0,0,0,0,16.7,83.3,0,96,33.3,0,66.7,arts,8283,0,0,High
0,47.70527778,2121,89,50,50,61,0,641,0,0,0,0,0,49.6,50.4,0,96,33.3,0,66.7,arts,43953,0,0,High
0,7.633611111,204,87,50,50,89,0,50,0,0,0,19.2,5.8,36.5,38.5,0,96,33.3,0,66.7,arts,3214,0,1,High
695,291.1686111,715,98,50,50,40,1,5,0,0,0,2.4,0.4,81.8,0,15.4,93,20,40,40,attesting,23833,0,0,Low
95,1240.6925,6273,90,50,50,3,1,127,0,4,0.435383,1.9,0.2,82.9,0,14.9,93,20,40,40,attesting,38654,0,0,Low
695,179.2302778,1714,96,50,50,52,1,5,0,1,0,2.8,0.4,80.2,0,16.6,93,20,40,40,attesting,19124,0,0,High
0,66.97305556,636,89,50,50,36,0,39,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,44301,0,0,Low
0,6.286111111,88,89,50,50,52,0,10,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,21043,0,0,High
0,3.738888889,48,89,50,50,58,0,9,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,45591,0,0,High
0,0,1,89,50,50,50,0,2,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,33736,0,0,High
0,26.54416667,267,89,50,50,36,0,20,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,357,0,0,Low
0,0.003611111,1,89,50,50,7,0,1,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,29260,0,0,Low
0,16.21333333,468,84,0,50,29,0,32,0,0,0,32.3,0,67.7,0,0,87,50,0,50,attitudes,24815,0,0,Low
0,1.218888889,25,89,50,50,25,0,9,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,11726,0,0,Low
0,19.79166667,386,88,33.3,50,55,0,41,0,0,0,37.7,6.7,55.6,0,0,87,50,0,50,attitudes,26246,0,0,High
0,1.697777778,66,89,50,50,71,0,1,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,44764,0,0,High
0,1.091944444,13,89,50,50,39,0,3,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,48612,0,0,Low
0,4.711111111,87,89,50,50,66,0,6,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,23370,0,0,High
0,2.845,35,89,50,50,21,0,4,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,32932,0,0,Low
0,0.185277778,5,89,50,50,2,0,1,0,0,0,0,0,100,0,0,87,50,0,50,attitudes,32458,0,0,Low
0,3.625,40,100,0,100,24,0,3,0,0,0,17.5,0,82.5,0,0,87,50,0,50,attitudes,45620,0,0,Low
0,9.5025,244,64,0,50,69,0,21,0,0,0,7,0,93,0,0,90,33.3,0,66.7,band,20254,0,0,High
0,0.250555556,12,89,50,50,44,0,1,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,23671,0,0,Low
0,0.6175,32,89,50,50,43,0,13,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,26043,0,0,Low
0,0.494722222,58,96,0,50,16,0,11,0,0,0,8.6,0,91.4,0,0,90,33.3,0,66.7,band,19551,0,1,Low
0,12.91138889,394,68,0,50,33,0,19,0,0,0,3.3,0,96.7,0,0,90,33.3,0,66.7,band,18442,0,1,Low
0,1.171944444,61,89,0,0,61,0,3,0,0,0,1.6,0,98.4,0,0,90,33.3,0,66.7,band,9292,0,0,High
99,1.446388889,29,89,50,50,25,0,6,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,5077,0,0,Low
0,0.826944444,27,89,50,50,21,0,12,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,45057,0,0,Low
0,0.015,1,89,50,50,17,0,1,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,48874,0,0,Low
0,0.014722222,3,89,50,50,6,0,2,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,1875,0,0,Low
0,52.65055556,1565,73,0,50,84,0,49,0,0,0,8.2,0,91.8,0,0,90,33.3,0,66.7,band,25068,0,0,High
0,0.669166667,37,89,50,50,35,0,4,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,27934,0,0,Low
0,11.83333333,314,69,0,50,66,0,11,0,0,0,7,0,93,0,0,90,33.3,0,66.7,band,17343,0,0,High
0,0,1,89,50,50,50,0,3,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,17348,0,0,High
0,0.020833333,3,89,50,50,20,0,2,0,0,0,0,0,100,0,0,90,33.3,0,66.7,band,13620,0,0,Low
